time	V(vid)	V(vodn)	V(vodp)
0.000000000000000e+000	0.000000e+000	4.841537e+000	4.841537e+000
3.571428613164635e-009	3.365992e-006	4.841495e+000	4.841577e+000
7.142857226329270e-009	6.731984e-006	4.841423e+000	4.841647e+000
1.071428583949391e-008	1.009798e-005	4.841322e+000	4.841747e+000
1.428571445265854e-008	1.346397e-005	4.841191e+000	4.841877e+000
1.785714306582317e-008	1.682996e-005	4.841031e+000	4.842038e+000
2.142857167898781e-008	2.019595e-005	4.840842e+000	4.842229e+000
2.500000029215244e-008	2.356194e-005	4.840623e+000	4.842451e+000
5.000000058430487e-008	4.712389e-005	4.839036e+000	4.844039e+000
1.000000011686097e-007	9.424777e-005	4.835511e+000	4.847564e+000
3.790178583114671e-006	3.576158e-003	4.565517e+000	5.117542e+000
7.480357165060731e-006	7.051593e-003	4.302461e+000	5.380531e+000
1.117053574700679e-005	1.052055e-002	4.046344e+000	5.636533e+000
1.486071432895285e-005	1.398304e-002	3.797164e+000	5.885546e+000
1.855089291089891e-005	1.743905e-002	3.554922e+000	6.127571e+000
2.224107149284498e-005	2.088858e-002	3.319618e+000	6.362607e+000
2.593125007479103e-005	2.433164e-002	3.091253e+000	6.590655e+000
3.081406257479103e-005	2.886047e-002	2.813353e+000	6.868061e+000
3.569687507479102e-005	3.336214e-002	2.557891e+000	7.122949e+000
4.057968757479102e-005	3.783241e-002	2.325574e+000	7.354619e+000
4.546250007479102e-005	4.226708e-002	2.116361e+000	7.563118e+000
5.034531257479102e-005	4.666196e-002	1.929599e+000	7.749105e+000
5.522812507479101e-005	5.101293e-002	1.764161e+000	7.913717e+000
6.011093757479101e-005	5.531588e-002	1.618591e+000	8.058416e+000
6.499375007479101e-005	5.956678e-002	1.491232e+000	8.184869e+000
6.987656257479101e-005	6.376161e-002	1.380334e+000	8.294830e+000
7.475937507479102e-005	6.789643e-002	1.284144e+000	8.390062e+000
7.964218757479102e-005	7.196735e-002	1.200966e+000	8.472266e+000
8.452500007479103e-005	7.597054e-002	1.129205e+000	8.543042e+000
8.940781257479103e-005	7.990222e-002	1.067397e+000	8.603863e+000
9.429062507479103e-005	8.375871e-002	1.014215e+000	8.656055e+000
9.917343757479104e-005	8.753636e-002	9.684775e-001	8.700809e+000
1.040562500747910e-004	9.123163e-002	9.291437e-001	8.739167e+000
1.089390625747911e-004	9.484103e-002	8.953032e-001	8.772043e+000
1.138218750747911e-004	9.836118e-002	8.661667e-001	8.800230e+000
1.187046875747911e-004	1.017887e-001	8.410535e-001	8.824410e+000
1.235875000747911e-004	1.051205e-001	8.193795e-001	8.845172e+000
1.284703125747911e-004	1.083533e-001	8.006449e-001	8.863016e+000
1.333531250747911e-004	1.114842e-001	7.844238e-001	8.878369e+000
1.382359375747911e-004	1.145101e-001	7.703533e-001	8.891598e+000
1.431187500747911e-004	1.174283e-001	7.581257e-001	8.903009e+000
1.480015625747911e-004	1.202359e-001	7.474793e-001	8.912869e+000
1.528843750747911e-004	1.229304e-001	7.381925e-001	8.921399e+000
1.577671875747911e-004	1.255092e-001	7.300774e-001	8.928787e+000
1.626500000747911e-004	1.279698e-001	7.229747e-001	8.935196e+000
1.675328125747911e-004	1.303100e-001	7.167493e-001	8.940760e+000
1.724156250747911e-004	1.325276e-001	7.112871e-001	8.945594e+000
1.772984375747911e-004	1.346205e-001	7.064909e-001	8.949797e+000
1.821812500747911e-004	1.365866e-001	7.022785e-001	8.953450e+000
1.870640625747911e-004	1.384242e-001	6.985803e-001	8.956627e+000
1.919468750747911e-004	1.401315e-001	6.953372e-001	8.959385e+000
1.968296875747911e-004	1.417069e-001	6.924991e-001	8.961775e+000
2.017125000747911e-004	1.431490e-001	6.900239e-001	8.963839e+000
2.065953125747911e-004	1.444563e-001	6.878757e-001	8.965615e+000
2.114781250747911e-004	1.456276e-001	6.860248e-001	8.967133e+000
2.163609375747911e-004	1.466620e-001	6.844459e-001	8.968417e+000
2.212437500747911e-004	1.475582e-001	6.831181e-001	8.969490e+000
2.261265625747911e-004	1.483156e-001	6.820244e-001	8.970367e+000
2.310093750747911e-004	1.489334e-001	6.811511e-001	8.971066e+000
2.358921875747912e-004	1.494111e-001	6.804872e-001	8.971594e+000
2.407750000747912e-004	1.497481e-001	6.800248e-001	8.971961e+000
2.456578125747911e-004	1.499442e-001	6.797583e-001	8.972173e+000
2.505406250747911e-004	1.499991e-001	6.796843e-001	8.972232e+000
2.554234375747911e-004	1.499129e-001	6.798022e-001	8.972139e+000
2.603062500747911e-004	1.496856e-001	6.801131e-001	8.971895e+000
2.651890625747911e-004	1.493174e-001	6.806209e-001	8.971494e+000
2.700718750747912e-004	1.488087e-001	6.813317e-001	8.970930e+000
2.749546875747912e-004	1.481599e-001	6.822540e-001	8.970194e+000
2.798375000747912e-004	1.473717e-001	6.833993e-001	8.969275e+000
2.847203125747912e-004	1.464448e-001	6.847821e-001	8.968158e+000
2.896031250747912e-004	1.453800e-001	6.864202e-001	8.966825e+000
2.944859375747912e-004	1.441785e-001	6.883353e-001	8.965254e+000
2.993687500747912e-004	1.428412e-001	6.905535e-001	8.963418e+000
3.042515625747912e-004	1.413695e-001	6.931060e-001	8.961287e+000
3.091343750747912e-004	1.397647e-001	6.960297e-001	8.958820e+000
3.140171875747912e-004	1.380284e-001	6.993685e-001	8.955976e+000
3.189000000747912e-004	1.361622e-001	7.031743e-001	8.952702e+000
3.237828125747912e-004	1.341679e-001	7.075082e-001	8.948935e+000
3.286656250747912e-004	1.320472e-001	7.124423e-001	8.944602e+000
3.335484375747912e-004	1.298023e-001	7.180620e-001	8.939618e+000
3.384312500747912e-004	1.274353e-001	7.244676e-001	8.933882e+000
3.433140625747912e-004	1.249482e-001	7.317778e-001	8.927273e+000
3.481968750747912e-004	1.223436e-001	7.401322e-001	8.919651e+000
3.530796875747912e-004	1.196239e-001	7.496960e-001	8.910850e+000
3.579625000747912e-004	1.167915e-001	7.606639e-001	8.900673e+000
3.628453125747912e-004	1.138493e-001	7.732655e-001	8.888889e+000
3.677281250747912e-004	1.107998e-001	7.877716e-001	8.875227e+000
3.726109375747912e-004	1.076462e-001	8.045014e-001	8.859365e+000
